,Account,Opportunity_ID,Sales_Agent,SalesAgentEmailID,ContactEmailID,Deal_Stage,Product,Close_Value,Created Date,Close Date,DateDiff,Ordered_Product,Ordered_Agent
22,Dontechi,NYVA2G6U,Versie Hillebrand,versie@piedpiper.com,kristle@dontechi.com,1,MG Special,57,2016-01-24,2016-04-28,95,6,25
23,Blackzim,PYZZ3IS6,Markita Hansen,markita@piedpiper.com,riley@blackzim.com,1,GTX Plus Basic,1043,2016-01-27,2016-11-19,297,2,1
24,Green-Plus,E67P9Y3Q,Rosalina Dieter,rosalina@piedpiper.com,lavone@green-plus.com,1,GTX Basic,635,2016-01-29,2016-09-13,228,4,20
25,Initech,IX7UEOAP,Donn Cantrell,donn@piedpiper.com,alejandro@initech.com,0,GTX Plus Basic,3393,2016-01-30,2016-04-16,77,2,2
26,Sunnamplex,S91N9YBL,Vicki Laflamme,vicki@piedpiper.com,maxie@sunnamplex.com,0,GTX Basic,537,2016-02-01,2016-05-01,90,4,15
27,Codehow,AJIPJP75,Marty Freudenburg,marty@piedpiper.com,justine@codehow.com,0,GTX Plus Basic,1014,2016-02-03,2016-03-26,52,2,11
28,Scottech,KE9ZEDS8,Gladys Colclough,gladys@piedpiper.com,edison@scottech.com,1,MG Special,57,2016-02-03,2016-04-13,70,6,3
29,Stanredtax,94GI0ZJ7,Anna Snelling,anna@piedpiper.com,candice@stanredtax.com,1,GTX Plus Pro,5765,2016-02-04,2016-08-24,202,5,8
30,Finhigh,AJXAXV4W,Lajuana Vencill,lajuana@piedpiper.com,mellie@finhigh.com,0,MG Advanced,3180,2016-02-05,2016-04-29,84,1,0
31,Plussunin,N4HFHDMW,Wilburn Farren,wilburn@piedpiper.com,terry@plussunin.com,1,MG Advanced,3012,2016-02-06,2016-04-22,76,1,27
32,Condax,3W1K7X5F,Darcel Schlecht,darcel@piedpiper.com,golda@condax.com,0,GTXPro,589,2016-02-09,2016-04-06,57,3,12
33,Opentech,FPNGEJRC,Violet Mclelland,violet@piedpiper.com,paola@opentech.com,1,MG Special,54,2016-02-09,2016-10-30,264,6,13
34,Konex,IT10CFQH,Rosalina Dieter,rosalina@piedpiper.com,delila@konex.com,1,GTX Basic,538,2016-02-10,2016-09-20,223,4,20
36,Cheers,7GN8Q4LL,Markita Hansen,markita@piedpiper.com,robbie@cheers.com,1,GTX Basic,601,2016-02-14,2016-09-27,226,4,1
37,Doncon,2XQAKBXH,Zane Levy,zane@piedpiper.com,jackie@doncon.com,1,GTX Plus Pro,5370,2016-02-17,2016-07-18,152,5,7
38,Fasehatice,0XG8TOJF,Kary Hendrixson,kary@piedpiper.com,hsiu@fasehatice.com,0,GTX Plus Pro,560,2016-02-18,2016-10-17,242,5,9
40,dambase,YHKT6YJ7,Moses Frase,moses@piedpiper.com,darwin@dambase.com,1,GTX Basic,589,2016-02-20,2016-07-06,137,4,24
41,Kinnamplus,1HVNTEPV,Rosie Papadopoulos,rosie@piedpiper.com,monte@kinnamplus.com,1,GTXPro,4465,2016-02-22,2016-11-12,264,3,17
43,Isdom,M0JKP0HT,Gladys Colclough,gladys@piedpiper.com,corrinne@isdom.com,1,MG Advanced,3440,2016-02-22,2016-07-02,131,1,3
46,Zoomit,79EABK3X,Hayden Neloms,hayden@piedpiper.com,laveta@zoomit.com,1,MG Special,53,2016-02-26,2016-09-03,190,6,29
47,Fasehatice,DP9E525R,Maureen Marcano,maureen@piedpiper.com,hsiu@fasehatice.com,1,GTX Plus Basic,1007,2016-02-27,2016-12-02,279,2,28
48,Bioholding,44H0FJMH,Anna Snelling,anna@piedpiper.com,bryan@bioholding.com,0,GTX Plus Pro,50,2016-02-27,2016-11-29,276,5,8
51,Domzoom,52UPJFYI,Gladys Colclough,gladys@piedpiper.com,tanja@domzoom.com,1,GTX Basic,571,2016-03-02,2016-05-31,90,4,3
52,Yearin,4K750D6F,Violet Mclelland,violet@piedpiper.com,vella@yearin.com,1,MG Special,55,2016-03-03,2016-09-24,205,6,13
53,Y-corporation,BZCBQ514,Markita Hansen,markita@piedpiper.com,rosanne@y-corporation.com,1,GTX Basic,523,2016-03-04,2016-11-24,265,4,1
54,Domzoom,K53BC1T9,Anna Snelling,anna@piedpiper.com,tanja@domzoom.com,0,MG Special,4631,2016-03-04,2016-12-25,296,6,8
56,Isdom,3U25FK08,Jonathan Berthelot,jonathan@piedpiper.com,corrinne@isdom.com,1,GTX Basic,519,2016-03-05,2016-04-22,48,4,18
57,Faxquote,1XBC7M9F,Markita Hansen,markita@piedpiper.com,gaylord@faxquote.com,1,MG Special,64,2016-03-06,2016-09-16,194,6,1
58,Isdom,ALW92XQL,Gladys Colclough,gladys@piedpiper.com,corrinne@isdom.com,0,GTX Basic,4631,2016-03-08,2016-09-26,202,4,3
59,Treequote,TTA9LYBS,Anna Snelling,anna@piedpiper.com,benny@treequote.com,1,MG Special,58,2016-03-09,2016-05-19,71,6,8
61,Faxquote,V2X2KMUR,Kami Bicknell,kami@piedpiper.com,gaylord@faxquote.com,1,GTX Plus Basic,1059,2016-03-10,2016-03-27,17,2,16
62,Sonron,XKMZVSN4,James Ascencio,james@piedpiper.com,ashlie@sonron.com,1,GTX Plus Pro,4667,2016-03-11,2016-10-08,211,5,22
63,Ontomedia,0EOFVU05,Donn Cantrell,donn@piedpiper.com,nedra@ontomedia.com,1,MG Advanced,3421,2016-03-11,2016-09-16,189,1,2
64,Mathtouch,H78I3TAY,Reed Clapper,reed@piedpiper.com,loise@mathtouch.com,1,GTX Basic,493,2016-03-11,2016-03-27,16,4,19
65,Rangreen,GK8YD2XW,Darcel Schlecht,darcel@piedpiper.com,darrel@rangreen.com,0,GTX Basic,50,2016-03-11,2016-05-27,77,4,12
68,Cancity,VPDXX5PJ,Niesha Huffines,niesha@piedpiper.com,faviola@cancity.com,1,GTX Basic,546,2016-03-16,2016-05-16,61,4,4
69,Sunnamplex,MRGBSMQ5,Kary Hendrixson,kary@piedpiper.com,maxie@sunnamplex.com,1,GTX Plus Basic,988,2016-03-16,2016-05-20,65,2,9
71,Conecom,8S6TNXYB,Darcel Schlecht,darcel@piedpiper.com,ivory@conecom.com,1,GTXPro,3952,2016-03-18,2016-09-13,179,3,12
72,dambase,3X13866U,Anna Snelling,anna@piedpiper.com,darwin@dambase.com,0,GTX Plus Basic,517,2016-03-20,2016-11-15,240,2,8
73,Betatech,1ROC43JK,Versie Hillebrand,versie@piedpiper.com,genie@betatech.com,1,MG Special,50,2016-03-21,2016-07-31,132,6,25
75,Nam-zim,U4LRR9E9,James Ascencio,james@piedpiper.com,garfield@nam-zim.com,1,GTX Plus Pro,6490,2016-03-23,2016-12-17,269,5,22
76,Golddex,JXLERZ9O,Kary Hendrixson,kary@piedpiper.com,kelli@golddex.com,1,GTX Basic,559,2016-03-28,2016-05-17,50,4,9
77,Ontomedia,LXZA2OSZ,Corliss Cosme,corliss@piedpiper.com,nedra@ontomedia.com,1,GTX Plus Pro,5790,2016-03-28,2016-06-15,79,5,21
78,Finjob,FAJTQMUM,Kami Bicknell,kami@piedpiper.com,belinda@finjob.com,1,GTX Basic,564,2016-03-30,2016-10-11,195,4,16
79,Scotfind,E1VKE2PH,Vicki Laflamme,vicki@piedpiper.com,gordon@scotfind.com,1,MG Special,54,2016-03-30,2016-04-29,30,6,15
80,Goodsilron,QOL51JIB,James Ascencio,james@piedpiper.com,claribel@goodsilron.com,1,GTX Basic,601,2016-03-31,2016-07-21,112,4,22
81,Initech,DZ3KHZSX,Corliss Cosme,corliss@piedpiper.com,alejandro@initech.com,1,GTX Basic,513,2016-04-01,2016-04-27,26,4,21
82,Inity,DBDUMQQK,Niesha Huffines,niesha@piedpiper.com,palmira@inity.com,1,MG Special,48,2016-04-01,2016-04-29,28,6,4
83,Kan-code,U07C2HEG,Maureen Marcano,maureen@piedpiper.com,kenton@kan-code.com,0,MG Special,57,2016-04-01,2016-06-19,79,6,28
84,Ron-tech,WF4HA5NW,Moses Frase,moses@piedpiper.com,kelly@ron-tech.com,1,MG Special,50,2016-04-02,2016-07-26,115,6,24
85,Genco Pura Olive Oil Company,GCA97W27,Darcel Schlecht,darcel@piedpiper.com,karole@gencopuraoliveoilcompany.com,1,GTX Plus Basic,1161,2016-04-02,2016-08-21,141,2,12
86,Fasehatice,96MZYUY0,Vicki Laflamme,vicki@piedpiper.com,hsiu@fasehatice.com,1,GTXPro,4906,2016-04-02,2016-09-15,166,3,15
88,Betasoloin,S5IXY4Z9,Corliss Cosme,corliss@piedpiper.com,danilo@betasoloin.com,1,GTXPro,4570,2016-04-03,2016-09-04,154,3,21
89,Codehow,4NGBUZWJ,Lajuana Vencill,lajuana@piedpiper.com,justine@codehow.com,1,GTX Basic,609,2016-04-06,2016-09-18,165,4,0
90,Betatech,EJMX0EIJ,Darcel Schlecht,darcel@piedpiper.com,genie@betatech.com,1,GTX Plus Pro,4278,2016-04-06,2016-06-21,76,5,12
91,Stanredtax,TCHFT25B,Darcel Schlecht,darcel@piedpiper.com,candice@stanredtax.com,0,GTX Basic,588,2016-04-09,2016-08-04,117,4,12
92,Gekko & Co,8EZ04VQB,Reed Clapper,reed@piedpiper.com,krystle@gekko&co.com,0,GTX Plus Basic,50,2016-04-09,2016-11-20,225,2,19
93,Zumgoity,I3V3GUAI,Lajuana Vencill,lajuana@piedpiper.com,israel@zumgoity.com,1,GTX Basic,559,2016-04-12,2016-04-14,2,4,0
94,Isdom,L62MDI48,Anna Snelling,anna@piedpiper.com,corrinne@isdom.com,0,MG Advanced,46,2016-04-12,2016-05-06,24,1,8
95,Bubba Gump,V5OK4V5I,Cassey Cress,cassey@piedpiper.com,margarito@bubbagump.com,1,GTX Basic,549,2016-04-14,2016-07-12,89,4,10
96,Finhigh,S1V8684Y,Marty Freudenburg,marty@piedpiper.com,mellie@finhigh.com,0,GTX Plus Basic,493,2016-04-14,2016-07-20,97,2,11
97,Sonron,ENB2XD8G,Maureen Marcano,maureen@piedpiper.com,ashlie@sonron.com,1,GTX Plus Pro,4631,2016-04-15,2016-06-02,48,5,28
98,Xx-zobam,902REDPA,Daniell Hammack,daniell@piedpiper.com,vanessa@xx-zobam.com,0,GTXPro,300,2016-04-15,2016-09-30,168,3,5
99,Finhigh,RU023K5W,Gladys Colclough,gladys@piedpiper.com,mellie@finhigh.com,1,MG Advanced,2972,2016-04-15,2016-12-13,242,1,3
101,Plexzap,6ROE69W5,Rosalina Dieter,rosalina@piedpiper.com,titus@plexzap.com,0,GTX Basic,493,2016-04-17,2016-09-05,141,4,20
102,Gogozoom,HIOHX80Y,Darcel Schlecht,darcel@piedpiper.com,salina@gogozoom.com,1,MG Advanced,3563,2016-04-19,2016-05-06,17,1,12
103,Konex,LC85AQ1I,Vicki Laflamme,vicki@piedpiper.com,delila@konex.com,1,GTX Basic,443,2016-04-20,2016-11-25,219,4,15
104,Dontechi,XK668R7C,Darcel Schlecht,darcel@piedpiper.com,kristle@dontechi.com,0,GTX Basic,487,2016-04-25,2016-09-26,154,4,12
105,Cancity,EC4QE1BX,Darcel Schlecht,darcel@piedpiper.com,faviola@cancity.com,1,MG Special,50,2016-04-26,2016-09-23,150,6,12
106,Doncon,HNHOPL7M,Kary Hendrixson,kary@piedpiper.com,jackie@doncon.com,1,GTX Plus Pro,5425,2016-04-26,2016-12-29,247,5,9
107,Mathtouch,GJ4L5HHN,Corliss Cosme,corliss@piedpiper.com,loise@mathtouch.com,1,GTX Plus Basic,1034,2016-04-27,2016-09-27,153,2,21
109,Genco Pura Olive Oil Company,KWVA7VR1,Gladys Colclough,gladys@piedpiper.com,karole@gencopuraoliveoilcompany.com,0,GTXPro,1540,2016-05-03,2016-08-14,103,3,3
110,Rundofase,0DFXFKT7,Darcel Schlecht,darcel@piedpiper.com,crista@rundofase.com,0,GTX Plus Basic,1014,2016-05-04,2016-10-31,180,2,12
111,Dalttechnology,B6B0PNR2,Vicki Laflamme,vicki@piedpiper.com,nelia@dalttechnology.com,1,GTXPro,4899,2016-05-04,2016-10-08,157,3,15
112,J-Texon,787IRG9Q,Hayden Neloms,hayden@piedpiper.com,winston@j-texon.com,1,MG Advanced,3426,2016-05-04,2016-09-07,126,1,29
113,Fasehatice,NAQKOU0T,Hayden Neloms,hayden@piedpiper.com,hsiu@fasehatice.com,1,GTX Plus Basic,1315,2016-05-04,2016-06-09,36,2,29
114,Sonron,1B4L7TNG,Markita Hansen,markita@piedpiper.com,ashlie@sonron.com,0,MG Advanced,50,2016-05-06,2016-11-05,183,1,1
115,Scotfind,K8FUZHOG,Kary Hendrixson,kary@piedpiper.com,gordon@scotfind.com,1,GTX Basic,576,2016-05-07,2016-06-09,33,4,9
116,Treequote,CNBN12RL,Versie Hillebrand,versie@piedpiper.com,benny@treequote.com,1,MG Special,49,2016-05-09,2016-12-01,206,6,25
117,Treequote,9N55D1AH,Niesha Huffines,niesha@piedpiper.com,benny@treequote.com,1,MG Advanced,3841,2016-05-09,2016-12-29,234,1,4
118,Isdom,B2VJCVBB,Darcel Schlecht,darcel@piedpiper.com,corrinne@isdom.com,1,GTX Plus Pro,4711,2016-05-14,2016-08-12,90,5,12
119,Cancity,7WAX8Z8O,Lajuana Vencill,lajuana@piedpiper.com,faviola@cancity.com,0,MG Advanced,537,2016-05-15,2016-09-07,115,1,0
120,Betasoloin,J7YF6DS7,Corliss Cosme,corliss@piedpiper.com,danilo@betasoloin.com,1,GTX Plus Pro,5964,2016-05-16,2016-11-18,186,5,21
121,Sumace,TBV972NP,Violet Mclelland,violet@piedpiper.com,ursula@sumace.com,0,MG Special,487,2016-05-17,2016-09-05,111,6,13
122,Domzoom,LWPJEV3U,Niesha Huffines,niesha@piedpiper.com,tanja@domzoom.com,0,GTX Basic,487,2016-05-17,2016-10-27,163,4,4
123,Massive Dynamic,8VKD2CCH,Rosie Papadopoulos,rosie@piedpiper.com,gertrude@massivedynamic.com,1,GTXPro,4829,2016-05-18,2016-07-07,50,3,17
124,Green-Plus,OWM3BPGW,Hayden Neloms,hayden@piedpiper.com,lavone@green-plus.com,1,GTX Plus Basic,926,2016-05-21,2016-07-28,68,2,29
125,Rangreen,0TUS4NAC,Jonathan Berthelot,jonathan@piedpiper.com,darrel@rangreen.com,1,MG Special,51,2016-05-25,2016-09-22,120,6,18
126,Rundofase,PN4VJDXY,Moses Frase,moses@piedpiper.com,crista@rundofase.com,1,GTX Basic,557,2016-05-25,2016-11-14,173,4,24
127,Y-corporation,PZB9NUK8,Vicki Laflamme,vicki@piedpiper.com,rosanne@y-corporation.com,1,MG Special,46,2016-05-27,2016-10-22,148,6,15
129,Sunnamplex,96BSG7R1,Zane Levy,zane@piedpiper.com,maxie@sunnamplex.com,0,GTX Plus Basic,1014,2016-05-28,2016-06-23,26,2,7
130,Funholding,FP7014Z0,Lajuana Vencill,lajuana@piedpiper.com,ying@funholding.com,1,GTX Plus Basic,948,2016-05-29,2016-10-22,146,2,0
131,Plusstrip,EFG5DGV5,Markita Hansen,markita@piedpiper.com,deanne@plusstrip.com,1,MG Special,54,2016-05-30,2016-10-12,135,6,1
132,Yearin,EQ8X0QTL,Corliss Cosme,corliss@piedpiper.com,vella@yearin.com,1,MG Advanced,3577,2016-05-30,2016-09-18,111,1,21
134,Konmatfix,OT87JDWO,Lajuana Vencill,lajuana@piedpiper.com,ivana@konmatfix.com,1,GTX Basic,560,2016-06-01,2016-06-14,13,4,0
135,Genco Pura Olive Oil Company,30UQWUKB,Marty Freudenburg,marty@piedpiper.com,karole@gencopuraoliveoilcompany.com,1,GTX Plus Basic,1162,2016-06-03,2016-06-21,18,2,11
136,Codehow,513DPFX5,Gladys Colclough,gladys@piedpiper.com,justine@codehow.com,1,GTXPro,4438,2016-06-03,2016-12-06,186,3,3
137,Ron-tech,7KK0HQ4C,Lajuana Vencill,lajuana@piedpiper.com,kelly@ron-tech.com,0,MG Special,500,2016-06-03,2016-10-05,124,6,0
138,Gogozoom,NLB4D5BQ,Versie Hillebrand,versie@piedpiper.com,salina@gogozoom.com,1,MG Advanced,2955,2016-06-03,2016-10-15,134,1,25
140,Silis,R4F4RGAL,Violet Mclelland,violet@piedpiper.com,zulema@silis.com,1,MG Advanced,3558,2016-06-05,2016-07-05,30,1,13
141,Xx-zobam,AO9Z2D17,Violet Mclelland,violet@piedpiper.com,vanessa@xx-zobam.com,0,GTX Plus Pro,20000,2016-06-06,2016-06-27,21,5,13
142,Rangreen,MYDUMR3R,Lajuana Vencill,lajuana@piedpiper.com,darrel@rangreen.com,1,GTX Basic,559,2016-06-07,2016-07-28,51,4,0
143,Konex,FF45BXTL,Vicki Laflamme,vicki@piedpiper.com,delila@konex.com,1,MG Advanced,3671,2016-06-07,2016-07-02,25,1,15
144,Initech,YZGDW4G1,Violet Mclelland,violet@piedpiper.com,alejandro@initech.com,1,MG Special,64,2016-06-07,2016-11-10,156,6,13
145,dambase,2STUSOFE,Versie Hillebrand,versie@piedpiper.com,darwin@dambase.com,1,MG Special,67,2016-06-08,2016-09-30,114,6,25
146,Hottechi,127ZPLXQ,Kary Hendrixson,kary@piedpiper.com,juliette@hottechi.com,0,GTXPro,4514,2016-06-08,2016-10-19,133,3,9
148,Groovestreet,UYP3NNU6,Kami Bicknell,kami@piedpiper.com,natisha@groovestreet.com,1,GTX Basic,441,2016-06-09,2016-07-23,44,4,16
149,Xx-holding,JYKM0B00,James Ascencio,james@piedpiper.com,shemeka@xx-holding.com,1,GTXPro,4338,2016-06-10,2016-12-13,186,3,22
150,Labdrill,82MM4H33,Zane Levy,zane@piedpiper.com,halley@labdrill.com,1,GTX Plus Basic,1049,2016-06-12,2016-12-28,199,2,7
153,Codehow,A051G1B4,Jonathan Berthelot,jonathan@piedpiper.com,justine@codehow.com,1,GTX Basic,517,2016-06-14,2016-12-22,191,4,18
154,Yearin,PC78RLUX,Garret Kinder,garret@piedpiper.com,vella@yearin.com,1,GTX Basic,510,2016-06-16,2016-09-02,78,4,6
155,Fasehatice,FCFDJIEZ,Vicki Laflamme,vicki@piedpiper.com,hsiu@fasehatice.com,1,GTXPro,3742,2016-06-17,2016-12-14,180,3,15
156,Isdom,R8PEL8V8,Cecily Lampkin,cecily@piedpiper.com,corrinne@isdom.com,1,MG Advanced,2955,2016-06-17,2016-08-26,70,1,26
157,Zotware,EAZDUUM9,Rosie Papadopoulos,rosie@piedpiper.com,shella@zotware.com,0,MG Advanced,588,2016-06-18,2016-11-05,140,1,17
160,Fasehatice,A4H5ESTU,Maureen Marcano,maureen@piedpiper.com,hsiu@fasehatice.com,1,GTX Plus Basic,1185,2016-06-20,2016-12-25,188,2,28
161,Statholdings,22OFSXBT,Jonathan Berthelot,jonathan@piedpiper.com,verna@statholdings.com,1,GTXPro,5406,2016-06-22,2016-10-26,126,3,18
162,Hatfan,LF8JZ3Q5,Kary Hendrixson,kary@piedpiper.com,tyron@hatfan.com,1,GTX Plus Basic,1046,2016-06-22,2016-09-03,73,2,9
164,Zumgoity,ERV0CAZ7,Versie Hillebrand,versie@piedpiper.com,israel@zumgoity.com,1,MG Special,60,2016-06-24,2016-07-06,12,6,25
165,Treequote,PAGZQH8L,Cecily Lampkin,cecily@piedpiper.com,benny@treequote.com,1,MG Advanced,3956,2016-06-24,2016-07-21,27,1,26
166,Gekko & Co,J21W3WIW,Corliss Cosme,corliss@piedpiper.com,krystle@gekko&co.com,1,MG Advanced,3351,2016-06-24,2016-09-26,94,1,21
167,Condax,RV3LPOYP,James Ascencio,james@piedpiper.com,golda@condax.com,1,GTX Basic,437,2016-06-25,2016-12-21,179,4,22
168,Opentech,LPKT07PV,Boris Faz,boris@piedpiper.com,paola@opentech.com,1,GTXPro,4704,2016-06-28,2016-08-23,56,3,23
170,Cheers,5M58DTJK,Elease Gluck,elease@piedpiper.com,robbie@cheers.com,1,MG Special,58,2016-07-01,2016-07-18,17,6,14
171,Konex,41MURAI5,Corliss Cosme,corliss@piedpiper.com,delila@konex.com,1,GTX Basic,590,2016-07-01,2016-07-18,17,4,21
172,Umbrella Corporation,1YSOZLHF,Daniell Hammack,daniell@piedpiper.com,orpha@umbrellacorporation.com,1,GTXPro,4799,2016-07-02,2016-07-19,17,3,5
173,Vehement Capital Partners,FA1VHZSV,Reed Clapper,reed@piedpiper.com,lavonia@vehementcapitalpartners.com,1,MG Special,57,2016-07-02,2016-11-16,137,6,19
174,Cancity,1C1I7A6R,Moses Frase,moses@piedpiper.com,faviola@cancity.com,1,GTX Plus Basic,1054,2016-07-03,2016-09-13,72,2,24
175,Finhigh,5CSSZJF4,Jonathan Berthelot,jonathan@piedpiper.com,mellie@finhigh.com,1,GTX Basic,543,2016-07-05,2016-10-23,110,4,18
176,Isdom,W1KLFNE4,Anna Snelling,anna@piedpiper.com,corrinne@isdom.com,1,MG Advanced,3246,2016-07-05,2016-09-13,70,1,8
177,Xx-holding,HBTINPDG,Vicki Laflamme,vicki@piedpiper.com,shemeka@xx-holding.com,0,GTX Plus Basic,3393,2016-07-06,2016-07-23,17,2,15
178,Bioholding,JSD4APT2,Versie Hillebrand,versie@piedpiper.com,bryan@bioholding.com,1,MG Special,61,2016-07-07,2016-09-02,57,6,25
179,Ron-tech,XRN54MBM,Niesha Huffines,niesha@piedpiper.com,kelly@ron-tech.com,1,GTX Basic,487,2016-07-07,2016-08-31,55,4,4
180,Zoomit,DASMR0EK,Markita Hansen,markita@piedpiper.com,laveta@zoomit.com,1,GTX Plus Pro,5410,2016-07-07,2016-07-28,21,5,1
181,Vehement Capital Partners,K9D4DQ3R,Rosie Papadopoulos,rosie@piedpiper.com,lavonia@vehementcapitalpartners.com,1,MG Special,48,2016-07-07,2016-07-22,15,6,17
182,Fasehatice,RX56S6G3,Vicki Laflamme,vicki@piedpiper.com,hsiu@fasehatice.com,1,MG Advanced,3803,2016-07-08,2016-09-30,84,1,15
184,dambase,E8RP9FRW,Gladys Colclough,gladys@piedpiper.com,darwin@dambase.com,1,MG Special,51,2016-07-10,2016-12-19,162,6,3
185,Hatfan,RNTOJ78L,Rosalina Dieter,rosalina@piedpiper.com,tyron@hatfan.com,0,MG Special,1054,2016-07-11,2016-11-08,120,6,20
186,The New York Inquirer,AT3MMVIS,Wilburn Farren,wilburn@piedpiper.com,hai@thenewyorkinquirer.com,1,MG Advanced,3045,2016-07-13,2016-09-01,50,1,27
187,Xx-holding,7QC6FOKW,Kami Bicknell,kami@piedpiper.com,shemeka@xx-holding.com,1,GTX Basic,598,2016-07-13,2016-08-15,33,4,16
189,Donquadtech,0LVWSWEW,Violet Mclelland,violet@piedpiper.com,malissa@donquadtech.com,1,MG Special,65,2016-07-15,2016-07-30,15,6,13
191,Plexzap,4501T63I,Rosalina Dieter,rosalina@piedpiper.com,titus@plexzap.com,1,MG Special,56,2016-07-15,2016-11-13,121,6,20
192,Vehement Capital Partners,2U94Y3Q9,Rosie Papadopoulos,rosie@piedpiper.com,lavonia@vehementcapitalpartners.com,0,MG Advanced,537,2016-07-17,2016-12-16,152,1,17
193,Gekko & Co,J5V2M7Y1,Corliss Cosme,corliss@piedpiper.com,krystle@gekko&co.com,1,GTX Basic,513,2016-07-17,2016-12-15,151,4,21
195,Ron-tech,ZNBS69V1,Anna Snelling,anna@piedpiper.com,kelly@ron-tech.com,1,MG Special,49,2016-07-18,2016-12-09,144,6,8
196,Funholding,01QKN578,Darcel Schlecht,darcel@piedpiper.com,ying@funholding.com,1,GTXPro,4247,2016-07-18,2016-11-06,111,3,12
197,Dalttechnology,Y0NYI17R,Vicki Laflamme,vicki@piedpiper.com,nelia@dalttechnology.com,1,MG Special,55,2016-07-19,2016-09-16,59,6,15
198,Golddex,0P4AAPYX,Hayden Neloms,hayden@piedpiper.com,kelli@golddex.com,1,GTX Plus Basic,1040,2016-07-20,2016-07-25,5,2,29
199,Ganjaflex,83XN082U,Corliss Cosme,corliss@piedpiper.com,somer@ganjaflex.com,1,GTX Plus Pro,5002,2016-07-22,2016-10-14,84,5,21
200,Hatfan,7G7YLGJO,Zane Levy,zane@piedpiper.com,tyron@hatfan.com,1,GTX Plus Pro,6499,2016-07-23,2016-08-13,21,5,7
201,Faxquote,IBDEQVBN,Kary Hendrixson,kary@piedpiper.com,gaylord@faxquote.com,0,GTX Basic,537,2016-07-23,2016-08-14,22,4,9
203,Rantouch,5J9CMGDV,Elease Gluck,elease@piedpiper.com,maren@rantouch.com,1,MG Special,46,2016-07-25,2016-10-02,69,6,14
